     ,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,01/01/2026,01/02/2026,01/03/2026,01/04/2026,01/05/2026,01/06/2026,01/07/2026,01/08/2026,01/09/2026,01/10/2026,01/11/2026,01/12/2026
,31/01/2026,28/02/2026,31/03/2026,30/04/2026,31/05/2026,30/06/2026,31/07/2026,31/08/2026,30/09/2026,31/10/2026,30/11/2026,31/12/2026
M̻s,janeiro,fevereiro,mar̤o,abril,maio,junho,julho,agosto,setembro,outubro,novembro,dezembro
Investimento,"R$ 6.612,56","R$ 6.538,68","R$ 6.066,83","R$ 6.628,03","R$ 3.025,52","R$ 278,14","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
Ticket M̩dio,#DIV/0!,"R$ 11.271,63","R$ 16.566,67",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Impress̵es,205.459,227.880,155.587,129.784,128.279,5.262,0,0,0,0,0,0
Sess̵es Gerais,0,0,0,0,0,0,0,0,0,0,0,0
Cliques Totais,7.100,5.840,3.096,2.323,3.780,62,0,0,0,0,0,0
Leads,223,192,163,190,183,3,0,0,0,0,0,0
MQL (Manual),36,31,29,57,63,,,,,,,
SQL (Manual),11,10,20,34,30,,,,,,,
Vendas (Manual),0,3,3,0,0,,,,,,,
Receita Faturada (Manual),"R$ 0,00","R$ 33.814,90","R$ 49.700,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
ROAS,"0,00","5,17","8,19","0,00","0,00","0,00",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Taxa de Converṣo Leads(Clique->Lead),"3,14%","3,29%","5,26%","8,16%","4,83%","4,84%",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,
Custo por Clique,"R$ 0,93","R$ 1,12","R$ 1,96","R$ 2,85","R$ 0,80","R$ 4,49",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,
Custo por Lead,"R$ 29,67","R$ 34,06","R$ 37,22","R$ 34,98","R$ 16,58","R$ 92,71",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Custo por MQL ,"R$ 183,68","R$ 210,93","R$ 209,20","R$ 116,28","R$ 48,02",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Custo por SQL,"R$ 601,14","R$ 653,87","R$ 303,34","R$ 194,94","R$ 100,85",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Custo por Compra,#DIV/0!,"R$ 2.179,56","R$ 2.022,28",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,
% Lead - MQL,"16,15%","16,15%","17,79%","30,08%","34,52%","0,00%",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
 % MQL - SQL,"30,56%","32,26%","68,97%","59,65%","47,62%",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
% SQL - Vendas,"0,00%","30,00%","15,00%","0,00%","0,00%",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,
Investimento Meta,"R$ 2.038,66","R$ 2.567,79","R$ 1.718,39","R$ 1.670,31","R$ 1.999,48","R$ 77,66","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
Impress̵es,205.459,227.880,155.587,129.784,128.279,5.262,0,0,0,0,0,0
Cliques,6.052,5.047,2.302,1.318,1.343,45,0,0,0,0,0,0
CTR,"3394,89%","4515,16%","6758,77%","9847,04%","9551,68%","11693,33%",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Leads(Convers̵es),128,103,68,133,110,2,0,0,0,0,0,0
Taxa de Converṣo(Clique->Lead),"2,12%","2,04%","2,95%","10,09%","8,19%","4,44%",,,,,,
,,,,,,,,,,,,
Custo por Clique,"R$ 0,34","R$ 0,51","R$ 0,75","R$ 1,27","R$ 1,49","R$ 1,73",,,,,,
Custo por Lead,"R$ 15,93","R$ 24,93","R$ 25,27","R$ 12,56","R$ 18,18","R$ 38,83",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,
,,,,,,,,,,,,
Investimento Google,"R$ 4.573,90","R$ 3.970,89","R$ 4.348,44","R$ 4.957,72","R$ 1.026,04","R$ 200,48","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
Impress̵es,10.027,5.204,5.352,15.402,79.009,101,0,0,0,0,0,0
Cliques,1.048,793,794,1.005,2.437,17,0,0,0,0,0,0
CTR,"10,45%","15,24%","14,84%","6,53%","3,08%","16,83%",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Leads(Convers̵es),95,89,95,57,73,1,0,0,0,0,0,0
Taxa de Converṣo(Clique->Lead),"9,05%","11,22%","11,96%","5,62%","2,97%","5,88%",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,
Custo por Clique,"R$ 4,36","R$ 5,01","R$ 5,48","R$ 4,93","R$ 0,42","R$ 11,79",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Custo por Lead,"R$ 48,22","R$ 44,63","R$ 45,77","R$ 87,75","R$ 14,15","R$ 200,48",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,
Investimento LinkedinAds,"R$ 1.139,06","R$ 1.301,91","R$ 1.098,62","R$ 1.630,44","R$ 1.944,14","R$ 70,67","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
Impress̵es,269.735,489.603,289.603,364.140,55.605,0,0,0,0,0,0,0
Cliques,2.036,3.496,2.453,3.437,735,0,0,0,0,0,0,0
Custo por Clique,"R$ 0,56","R$ 0,37","R$ 0,45","R$ 0,47","R$ 2,65",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Leads,0,0,0,0,35,0,0,0,0,0,0,0
Custo por Lead,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,"R$ 55,55",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
